"","year","countries","salaried_worker","self_employed","family_workers","year_cat"
"1","1980","Australia",86.6,12.7,0.6,"[1980,1985]"
"2","1980","Belgium",82.5,9.4,8,"[1980,1985]"
"3","1980","Canada",92.1,6,2,"[1980,1985]"
"4","1980","France",85.4,14.6,0,"[1980,1985]"
"5","1980","Italy",72.9,16,11.1,"[1980,1985]"
"6","1980","Japan",63.2,13.7,22.9,"[1980,1985]"
"7","1980","Korea, Rep.",39.2,23.3,37.4,"[1980,1985]"
"8","1980","Norway",89.5,4.3,6.2,"[1980,1985]"
"9","1980","Spain",64.5,15.5,19.6,"[1980,1985]"
"10","1980","United Kingdom",96.1,3.9,NA,"[1980,1985]"
"11","1980","United States",93.3,5.4,1.3,"[1980,1985]"
"12","1981","Australia",87.1,12.2,0.7,"[1980,1985]"
"13","1981","Belgium",82.3,9.6,8.1,"[1980,1985]"
"14","1981","Canada",92.4,5.6,2.1,"[1980,1985]"
"15","1981","France",85.5,14.5,0,"[1980,1985]"
"16","1981","Italy",73.5,15.7,10.8,"[1980,1985]"
"17","1981","Japan",64.3,13.2,22.3,"[1980,1985]"
"18","1981","Korea, Rep.",39,22.9,38.2,"[1980,1985]"
"19","1981","Norway",89.8,4,6.2,"[1980,1985]"
"20","1981","Spain",64.4,15.6,19.5,"[1980,1985]"
"21","1981","United Kingdom",95.6,4.4,NA,"[1980,1985]"
"22","1981","United States",93.2,5.6,1.2,"[1980,1985]"
"23","1982","Australia",87.2,12.2,0.6,"[1980,1985]"
"24","1982","Belgium",82.2,9.7,8.2,"[1980,1985]"
"25","1982","Canada",92,6,2,"[1980,1985]"
"26","1982","France",85.7,14.3,0,"[1980,1985]"
"27","1982","Italy",74,15.8,10.2,"[1980,1985]"
"28","1982","Japan",64.5,13.5,22,"[1980,1985]"
"29","1982","Korea, Rep.",39.9,23.7,36.4,"[1980,1985]"
"30","1982","Norway",90.3,4.5,5.2,"[1980,1985]"
"31","1982","Spain",65.5,15.5,18.6,"[1980,1985]"
"32","1982","United Kingdom",95.1,4.9,NA,"[1980,1985]"
"33","1982","United States",93,5.8,1.2,"[1980,1985]"
"34","1983","Australia",87.3,12.1,0.6,"[1980,1985]"
"35","1983","Belgium",81.8,9.9,8.3,"[1980,1985]"
"36","1983","Canada",91.8,6.4,1.8,"[1980,1985]"
"37","1983","France",86,14,0,"[1980,1985]"
"38","1983","Italy",73.3,16.3,10.5,"[1980,1985]"
"39","1983","Japan",65.7,13.3,20.8,"[1980,1985]"
"40","1983","Korea, Rep.",42.6,23.5,33.9,"[1980,1985]"
"41","1983","Norway",91.1,4.3,4.6,"[1980,1985]"
"42","1983","Spain",65.2,16.4,18,"[1980,1985]"
"43","1983","United Kingdom",94.6,5.3,0.1,"[1980,1985]"
"44","1983","United States",92.9,6,1.1,"[1980,1985]"
"45","1984","Australia",87.8,11.8,0.4,"[1980,1985]"
"46","1984","Belgium",81.8,9.9,8.4,"[1980,1985]"
"47","1984","Canada",91.6,6.7,1.7,"[1980,1985]"
"48","1984","France",86.4,13.6,0,"[1980,1985]"
"49","1984","Italy",72.7,16.2,11.1,"[1980,1985]"
"50","1984","Japan",66.5,13,20.3,"[1980,1985]"
"51","1984","Korea, Rep.",46.1,21.4,32.5,"[1980,1985]"
"52","1984","Norway",91.2,4.2,4.6,"[1980,1985]"
"53","1984","Spain",65.8,16.7,16.9,"[1980,1985]"
"54","1984","United Kingdom",92.2,6.5,1.3,"[1980,1985]"
"55","1984","United States",93,6,0.9,"[1980,1985]"
"56","1985","Australia",87.3,12.1,0.6,"[1980,1985]"
"57","1985","Belgium",81.9,9.9,8.3,"[1980,1985]"
"58","1985","Canada",90.9,7.3,1.8,"[1980,1985]"
"59","1985","France",86.8,13.2,0,"[1980,1985]"
"60","1985","Italy",73.6,15.9,10.5,"[1980,1985]"
"61","1985","Japan",67.2,12.5,20,"[1980,1985]"
"62","1985","Korea, Rep.",48.2,21.3,30.6,"[1980,1985]"
"63","1985","Norway",92,3.9,4,"[1980,1985]"
"64","1985","Spain",66.5,16.8,16.1,"[1980,1985]"
"65","1985","United Kingdom",91.7,6.8,1.4,"[1980,1985]"
"66","1985","United States",93.2,6,0.8,"[1980,1985]"
"67","1986","Australia",86.8,11.9,1.3,"(1985,1990]"
"68","1986","Belgium",82,9.8,8.3,"(1985,1990]"
"69","1986","Canada",92,6.5,1.5,"(1985,1990]"
"70","1986","France",87.2,12.8,0,"(1985,1990]"
"71","1986","Italy",73.4,16.4,10.2,"(1985,1990]"
"72","1986","Japan",68.1,12.3,19.4,"(1985,1990]"
"73","1986","Korea, Rep.",48,22.8,29.2,"(1985,1990]"
"74","1986","Norway",91.1,3.9,4.9,"(1985,1990]"
"75","1986","Spain",68,17.2,14.2,"(1985,1990]"
"76","1986","United Kingdom",92,6.6,1.3,"(1985,1990]"
"77","1986","United States",93.5,5.8,0.7,"(1985,1990]"
"78","1987","Australia",87.2,11.4,1.4,"(1985,1990]"
"79","1987","Belgium",82.1,9.7,8.2,"(1985,1990]"
"80","1987","Canada",90.1,8.5,1.4,"(1985,1990]"
"81","1987","France",87.5,12.5,0,"(1985,1990]"
"82","1987","Italy",73.9,16.4,9.7,"(1985,1990]"
"83","1987","Japan",68.4,12.1,19.3,"(1985,1990]"
"84","1987","Korea, Rep.",50.2,22.5,27.4,"(1985,1990]"
"85","1987","Norway",92.2,4.1,3.6,"(1985,1990]"
"86","1987","Spain",68,17.9,13.3,"(1985,1990]"
"87","1987","United Kingdom",91,7.2,1.8,"(1985,1990]"
"88","1987","United States",93.4,6,0.6,"(1985,1990]"
"89","1988","Australia",87.1,11.5,1.4,"(1985,1990]"
"90","1988","Belgium",82.5,9.6,8,"(1985,1990]"
"91","1988","Canada",90,8.9,1.1,"(1985,1990]"
"92","1988","France",87.8,12.2,0,"(1985,1990]"
"93","1988","Italy",74.4,16.4,9.1,"(1985,1990]"
"94","1988","Japan",69.3,11.8,18.6,"(1985,1990]"
"95","1988","Korea, Rep.",51.2,21.5,27.3,"(1985,1990]"
"96","1988","Norway",91.6,4.9,3.5,"(1985,1990]"
"97","1988","Spain",69.1,17.9,12.7,"(1985,1990]"
"98","1988","United Kingdom",90.9,7.2,1.9,"(1985,1990]"
"99","1988","United States",93.2,6.1,0.6,"(1985,1990]"
"100","1989","Australia",87.8,11,1.2,"(1985,1990]"
"101","1989","Belgium",82.4,9.6,8.1,"(1985,1990]"
"102","1989","Canada",90.2,8.8,1,"(1985,1990]"
"103","1989","France",88.4,11.6,0,"(1985,1990]"
"104","1989","Italy",75.2,16.8,8,"(1985,1990]"
"105","1989","Japan",70.7,11.4,17.7,"(1985,1990]"
"106","1989","Korea, Rep.",55.2,19.2,25.6,"(1985,1990]"
"107","1989","Norway",92.3,4.6,3.1,"(1985,1990]"
"108","1989","Spain",71.5,16.5,11.7,"(1985,1990]"
"109","1989","United Kingdom",91.1,7.3,1.6,"(1985,1990]"
"110","1989","United States",93.2,6.2,0.6,"(1985,1990]"
"111","1990","Australia",87.8,10.9,1.2,"(1985,1990]"
"112","1990","Belgium",82.5,9.5,8,"(1985,1990]"
"113","1990","Canada",89.9,9.2,0.9,"(1985,1990]"
"114","1990","France",89,11,0,"(1985,1990]"
"115","1990","Italy",75.9,16.6,7.5,"(1985,1990]"
"116","1990","Japan",72.3,10.7,16.7,"(1985,1990]"
"117","1990","Korea, Rep.",56.8,18.7,24.5,"(1985,1990]"
"118","1990","Norway",92.5,4.8,2.6,"(1985,1990]"
"119","1990","Spain",73.4,15.7,10.6,"(1985,1990]"
"120","1990","United Kingdom",91.1,7.4,1.5,"(1985,1990]"
"121","1990","United States",93.3,6.2,0.5,"(1985,1990]"
"122","1991","Australia",87.4,11.4,1.2,"(1990,1995]"
"123","1991","Belgium",82.3,9.6,8.1,"(1990,1995]"
"124","1991","Canada",89.8,9.3,0.9,"(1990,1995]"
"125","1991","France",89.6,10.4,0,"(1990,1995]"
"126","1991","Italy",76.2,16.5,7.3,"(1990,1995]"
"127","1991","Japan",74,10.2,15.5,"(1990,1995]"
"128","1991","Korea, Rep.",57.5,18.9,23.7,"(1990,1995]"
"129","1991","Norway",93.2,4.8,2,"(1990,1995]"
"130","1991","Spain",74.5,15.5,9.6,"(1990,1995]"
"131","1991","United Kingdom",91.4,7.1,1.5,"(1990,1995]"
"132","1991","United States",93.2,6.3,0.5,"(1990,1995]"
"133","1992","Australia",87.2,11.5,1.4,"(1990,1995]"
"134","1992","Belgium",82.3,9.6,8.1,"(1990,1995]"
"135","1992","Canada",89.5,9.7,0.8,"(1990,1995]"
"136","1992","France",90.2,9.8,0,"(1990,1995]"
"137","1992","Italy",76.4,16.5,7.1,"(1990,1995]"
"138","1992","Japan",75.4,10.1,14.3,"(1990,1995]"
"139","1992","Korea, Rep.",57.5,19.6,22.9,"(1990,1995]"
"140","1992","Norway",93.4,4.6,1.9,"(1990,1995]"
"141","1992","Spain",74.2,15.7,8.7,"(1990,1995]"
"142","1992","United Kingdom",92,6.9,1.1,"(1990,1995]"
"143","1992","United States",93.6,5.9,0.5,"(1990,1995]"
"144","1993","Australia",86.9,11.7,1.4,"(1990,1995]"
"145","1993","Belgium",81.9,9.8,8.3,"(1990,1995]"
"146","1993","Canada",88.8,10.3,0.9,"(1990,1995]"
"147","1993","France",90.8,9.2,0,"(1990,1995]"
"148","1993","Italy",75.7,15.8,8.4,"(1990,1995]"
"149","1993","Japan",77,9.6,13.1,"(1990,1995]"
"150","1993","Korea, Rep.",57.4,18.8,23.8,"(1990,1995]"
"151","1993","Norway",93.3,4.8,1.7,"(1990,1995]"
"152","1993","Spain",75,16,8.2,"(1990,1995]"
"153","1993","United Kingdom",92.1,7,0.9,"(1990,1995]"
"154","1993","United States",93.6,6,0.4,"(1990,1995]"
"155","1994","Australia",87.4,11.2,1.4,"(1990,1995]"
"156","1994","Belgium",82.1,10,7.9,"(1990,1995]"
"157","1994","Canada",88.3,11,0.7,"(1990,1995]"
"158","1994","France",91.2,8.8,0,"(1990,1995]"
"159","1994","Italy",75.8,16.2,8,"(1990,1995]"
"160","1994","Japan",77.8,9.1,12.8,"(1990,1995]"
"161","1994","Korea, Rep.",58.5,18.8,22.7,"(1990,1995]"
"162","1994","Norway",93.6,4.5,1.3,"(1990,1995]"
"163","1994","Spain",76.1,16.1,7.5,"(1990,1995]"
"164","1994","United Kingdom",92.1,7.1,0.8,"(1990,1995]"
"165","1994","United States",92.9,6.9,0.2,"(1990,1995]"
"166","1995","Australia",87.9,10.8,1.3,"(1990,1995]"
"167","1995","Belgium",82.1,10,7.8,"(1990,1995]"
"168","1995","Canada",88.3,11,0.7,"(1990,1995]"
"169","1995","France",91.7,8.3,0,"(1990,1995]"
"170","1995","Italy",76.2,16.4,7.4,"(1990,1995]"
"171","1995","Japan",78.3,9,12.5,"(1990,1995]"
"172","1995","Korea, Rep.",59.1,19.6,21.3,"(1990,1995]"
"173","1995","Norway",93.8,4.8,1.3,"(1990,1995]"
"174","1995","Spain",76.5,16.7,6.5,"(1990,1995]"
"175","1995","United Kingdom",92.2,7,0.8,"(1990,1995]"
"176","1995","United States",93.1,6.7,0.2,"(1990,1995]"
"177","1996","Australia",88.1,10.7,1.2,"(1995,2000]"
"178","1996","Belgium",82.4,10,7.6,"(1995,2000]"
"179","1996","Canada",87.5,11.8,0.7,"(1995,2000]"
"180","1996","France",92.1,7.9,0,"(1995,2000]"
"181","1996","Italy",76.4,16.5,7.1,"(1995,2000]"
"182","1996","Japan",79.3,8.5,12,"(1995,2000]"
"183","1996","Korea, Rep.",59.5,19.9,20.6,"(1995,2000]"
"184","1996","Norway",94.4,4.3,1.3,"(1995,2000]"
"185","1996","Spain",77.7,16,5.9,"(1995,2000]"
"186","1996","United Kingdom",92.3,7,0.7,"(1995,2000]"
"187","1996","United States",93.1,6.7,0.2,"(1995,2000]"
"188","1997","Australia",87.8,11,1.3,"(1995,2000]"
"189","1997","Belgium",82.9,10,7.2,"(1995,2000]"
"190","1997","Canada",86.7,12.5,0.7,"(1995,2000]"
"191","1997","France",92.5,7.5,0,"(1995,2000]"
"192","1997","Italy",76.8,16.4,6.8,"(1995,2000]"
"193","1997","Japan",79.8,8.3,11.6,"(1995,2000]"
"194","1997","Korea, Rep.",59.8,20.5,19.7,"(1995,2000]"
"195","1997","Norway",94.8,4.4,0.8,"(1995,2000]"
"196","1997","Spain",79.5,15.1,5.1,"(1995,2000]"
"197","1997","United Kingdom",92.1,7.2,0.7,"(1995,2000]"
"198","1997","United States",93.3,6.6,0.2,"(1995,2000]"
"199","1998","Australia",88.6,10.4,1,"(1995,2000]"
"200","1998","Belgium",83.5,9.7,6.7,"(1995,2000]"
"201","1998","Canada",86.7,12.6,0.7,"(1995,2000]"
"202","1998","France",92.7,7.3,0,"(1995,2000]"
"203","1998","Italy",77,16.4,6.6,"(1995,2000]"
"204","1998","Japan",80,8.4,11.3,"(1995,2000]"
"205","1998","Korea, Rep.",58.1,19.5,22.5,"(1995,2000]"
"206","1998","Norway",94.6,4.3,1,"(1995,2000]"
"207","1998","Spain",80.1,14.8,4.8,"(1995,2000]"
"208","1998","United Kingdom",92.2,7.2,0.6,"(1995,2000]"
"209","1998","United States",93.6,6.3,0.1,"(1995,2000]"
"210","1999","Australia",88.9,9.9,1.2,"(1995,2000]"
"211","1999","Belgium",84.1,9.5,6.4,"(1995,2000]"
"212","1999","Canada",87.1,12.4,0.5,"(1995,2000]"
"213","1999","France",92.9,7.1,0,"(1995,2000]"
"214","1999","Italy",77.4,16.6,6,"(1995,2000]"
"215","1999","Japan",80.4,8.2,11.1,"(1995,2000]"
"216","1999","Korea, Rep.",59.6,20,20.3,"(1995,2000]"
"217","1999","Norway",95,4.4,0.6,"(1995,2000]"
"218","1999","Spain",82.1,13.7,4.1,"(1995,2000]"
"219","1999","United Kingdom",92.8,6.7,0.5,"(1995,2000]"
"220","1999","United States",93.8,6.1,0.1,"(1995,2000]"
"221","2000","Australia",89.3,9.6,1.1,"(1995,2000]"
"222","2000","Belgium",NA,NA,NA,"(1995,2000]"
"223","2000","Canada",87.7,11.9,0.4,"(1995,2000]"
"224","2000","France",93.1,6.9,0,"(1995,2000]"
"225","2000","Italy",78,16.1,5.9,"(1995,2000]"
"226","2000","Japan",81.4,7.8,10.6,"(1995,2000]"
"227","2000","Korea, Rep.",61.5,19.2,19.2,"(1995,2000]"
"228","2000","Norway",95,4.4,0.5,"(1995,2000]"
"229","2000","Spain",83.3,12.9,3.7,"(1995,2000]"
"230","2000","United Kingdom",92.6,6.8,0.6,"(1995,2000]"
"231","2000","United States",93.9,6,0.1,"(1995,2000]"
"232","2001","Australia",89.7,9.6,0.7,"(2000,2007]"
"233","2001","Belgium",NA,NA,NA,"(2000,2007]"
"234","2001","Canada",88.8,10.9,0.3,"(2000,2007]"
"235","2001","France",93.3,6.7,0,"(2000,2007]"
"236","2001","Italy",78.4,15.6,6,"(2000,2007]"
"237","2001","Japan",82.5,7.2,10.1,"(2000,2007]"
"238","2001","Korea, Rep.",62.4,19.5,18.1,"(2000,2007]"
"239","2001","Norway",94.9,4.2,0.5,"(2000,2007]"
"240","2001","Spain",83.7,12.9,3.3,"(2000,2007]"
"241","2001","United Kingdom",93,6.5,0.5,"(2000,2007]"
"242","2001","United States",93.9,5.9,0.1,"(2000,2007]"
"243","2002","Australia",89.6,9.8,0.6,"(2000,2007]"
"244","2002","Belgium",NA,NA,NA,"(2000,2007]"
"245","2002","Canada",88.6,11.1,0.3,"(2000,2007]"
"246","2002","France",93.2,6.8,0,"(2000,2007]"
"247","2002","Italy",78.8,15.3,5.9,"(2000,2007]"
"248","2002","Japan",83.3,6.7,9.5,"(2000,2007]"
"249","2002","Korea, Rep.",63.5,19.4,17.1,"(2000,2007]"
"250","2002","Norway",95.4,3.7,0.5,"(2000,2007]"
"251","2002","Spain",84.8,12.2,2.9,"(2000,2007]"
"252","2002","United Kingdom",93,6.5,0.5,"(2000,2007]"
"253","2002","United States",94.1,5.8,0.1,"(2000,2007]"
"254","2003","Australia",90,9.5,0.5,"(2000,2007]"
"255","2003","Belgium",NA,NA,NA,"(2000,2007]"
"256","2003","Canada",88.7,11,0.3,"(2000,2007]"
"257","2003","France",91.9,6.1,1.9,"(2000,2007]"
"258","2003","Italy",78.9,15.3,5.8,"(2000,2007]"
"259","2003","Japan",83.8,6.6,9.2,"(2000,2007]"
"260","2003","Korea, Rep.",65.5,17.8,16.7,"(2000,2007]"
"261","2003","Norway",95.4,3.9,0.4,"(2000,2007]"
"262","2003","Spain",85.4,11.8,2.6,"(2000,2007]"
"263","2003","United Kingdom",92.2,7.4,0.4,"(2000,2007]"
"264","2003","United States",93.9,6,0.1,"(2000,2007]"
"265","2004","Australia",90.2,9.3,0.5,"(2000,2007]"
"266","2004","Belgium",NA,NA,NA,"(2000,2007]"
"267","2004","Canada",88.8,11,0.3,"(2000,2007]"
"268","2004","France",92.4,5.8,1.7,"(2000,2007]"
"269","2004","Italy",77.8,15.2,3.7,"(2000,2007]"
"270","2004","Japan",84.2,6.5,8.9,"(2000,2007]"
"271","2004","Korea, Rep.",66.6,18.6,14.8,"(2000,2007]"
"272","2004","Norway",95.6,4,0.3,"(2000,2007]"
"273","2004","Spain",85.6,11.9,2.4,"(2000,2007]"
"274","2004","United Kingdom",92.2,7.4,0.5,"(2000,2007]"
"275","2004","United States",93.9,6,0.1,"(2000,2007]"
"276","2005","Australia",90.2,9.3,0.4,"(2000,2007]"
"277","2005","Belgium",87.7,8.9,3.4,"(2000,2007]"
"278","2005","Canada",88.6,11.2,0.2,"(2000,2007]"
"279","2005","France",92.5,5.9,1.6,"(2000,2007]"
"280","2005","Italy",79.4,14.7,2.8,"(2000,2007]"
"281","2005","Japan",84.7,6.3,8.6,"(2000,2007]"
"282","2005","Korea, Rep.",67.1,19,14,"(2000,2007]"
"283","2005","Norway",95.4,4.2,0.3,"(2000,2007]"
"284","2005","Spain",85.4,12.1,2.4,"(2000,2007]"
"285","2005","United Kingdom",92.3,7.2,0.5,"(2000,2007]"
"286","2005","United States",94.1,5.8,0.1,"(2000,2007]"
"287","2006","Australia",90.7,8.9,0.4,"(2000,2007]"
"288","2006","Belgium",88.2,8.9,2.9,"(2000,2007]"
"289","2006","Canada",88.7,11.1,0.2,"(2000,2007]"
"290","2006","France",92.3,6.2,1.4,"(2000,2007]"
"291","2006","Italy",79.5,14.6,2.7,"(2000,2007]"
"292","2006","Japan",85.9,6,7.6,"(2000,2007]"
"293","2006","Korea, Rep.",67.7,18.8,13.5,"(2000,2007]"
"294","2006","Norway",95.1,4.4,0.5,"(2000,2007]"
"295","2006","Spain",86.1,11.8,1.9,"(2000,2007]"
"296","2006","United Kingdom",92,7.6,0.4,"(2000,2007]"
"297","2006","United States",94,5.9,0.1,"(2000,2007]"
"298","2007","Australia",91,8.7,0.4,"(2000,2007]"
"299","2007","Belgium",NA,NA,NA,"(2000,2007]"
"300","2007","Canada",88.6,11.2,0.2,"(2000,2007]"
"301","2007","France",92.7,6.3,1,"(2000,2007]"
"302","2007","Italy",80,14.4,2.6,"(2000,2007]"
"303","2007","Japan",86.4,5.8,7.3,"(2000,2007]"
"304","2007","Korea, Rep.",68.8,18.5,12.7,"(2000,2007]"
"305","2007","Norway",95.3,4.3,0.3,"(2000,2007]"
"306","2007","Spain",86.5,11.9,1.6,"(2000,2007]"
"307","2007","United Kingdom",91.9,7.7,0.5,"(2000,2007]"
"308","2007","United States",94.2,5.7,0.1,"(2000,2007]"
